Time,nace_r2,geo,OBS_VALUE,unit,GAS_PRICE
2015-05,C,EU27_2020,100.2,I15,20.548571428571428
2015-06,C,EU27_2020,100.6,I15,20.520454545454545
2015-07,C,EU27_2020,100.6,I15,20.858260869565218
2015-08,C,EU27_2020,100.2,I15,19.576190476190476
2015-09,C,EU27_2020,100.4,I15,19.16
2015-10,C,EU27_2020,100.5,I15,18.243636363636366
2015-11,C,EU27_2020,100.2,I15,17.202380952380953
2015-12,C,EU27_2020,100.9,I15,15.640869565217391
2016-01,C,EU27_2020,103.4,I15,13.904285714285715
2016-02,C,EU27_2020,101.5,I15,12.476666666666667
2016-03,C,EU27_2020,100.5,I15,12.267826086956523
2016-04,C,EU27_2020,102.2,I15,11.979999999999999
2016-05,C,EU27_2020,100.6,I15,13.04090909090909
2016-06,C,EU27_2020,101.9,I15,14.41590909090909
2016-07,C,EU27_2020,101.9,I15,14.241904761904761
2016-08,C,EU27_2020,101.8,I15,11.980869565217391
2016-09,C,EU27_2020,101.8,I15,12.282272727272726
2016-10,C,EU27_2020,102.7,I15,16.093809523809526
2016-11,C,EU27_2020,103.1,I15,17.90590909090909
2016-12,C,EU27_2020,103.1,I15,17.689545454545456
2017-01,C,EU27_2020,102.2,I15,20.12272727272727
2017-02,C,EU27_2020,103.7,I15,19.553
2017-03,C,EU27_2020,103.7,I15,15.799130434782608
2017-04,C,EU27_2020,104.3,I15,16.058
2017-05,C,EU27_2020,104.9,I15,15.669130434782607
2017-06,C,EU27_2020,104.3,I15,15.134545454545453
2017-07,C,EU27_2020,105.8,I15,15.095714285714285
2017-08,C,EU27_2020,106.7,I15,15.99304347826087
2017-09,C,EU27_2020,106.2,I15,17.302857142857142
2017-10,C,EU27_2020,106.8,I15,17.10363636363636
2017-11,C,EU27_2020,109.1,I15,19.57090909090909
2017-12,C,EU27_2020,109.7,I15,20.795238095238094
2018-01,C,EU27_2020,108.0,I15,18.6
2018-02,C,EU27_2020,106.2,I15,21.679
2018-03,C,EU27_2020,106.3,I15,23.622727272727275
2018-04,C,EU27_2020,106.8,I15,19.645238095238096
2018-05,C,EU27_2020,108.4,I15,21.566086956521737
2018-06,C,EU27_2020,108.1,I15,21.92761904761905
2018-07,C,EU27_2020,106.5,I15,22.253636363636364
2018-08,C,EU27_2020,108.2,I15,23.94347826086957
2018-09,C,EU27_2020,107.3,I15,27.837
2018-10,C,EU27_2020,108.3,I15,25.539565217391303
2018-11,C,EU27_2020,106.4,I15,24.633636363636366
2018-12,C,EU27_2020,107.2,I15,23.666190476190476
2019-01,C,EU27_2020,107.9,I15,21.39782608695652
2019-02,C,EU27_2020,108.0,I15,18.0035
2019-03,C,EU27_2020,108.1,I15,15.697619047619046
2019-04,C,EU27_2020,107.9,I15,15.041818181818183
2019-05,C,EU27_2020,108.3,I15,13.298695652173913
2019-06,C,EU27_2020,106.5,I15,10.5225
2019-07,C,EU27_2020,106.4,I15,10.941304347826087
2019-08,C,EU27_2020,106.9,I15,10.029545454545454
2019-09,C,EU27_2020,107.1,I15,9.568095238095239
2019-10,C,EU27_2020,107.7,I15,10.30913043478261
2019-11,C,EU27_2020,106.1,I15,14.763809523809524
2019-12,C,EU27_2020,104.5,I15,13.031363636363636
2020-01,C,EU27_2020,107.2,I15,11.144782608695651
2020-02,C,EU27_2020,106.7,I15,9.3725
2020-03,C,EU27_2020,95.3,I15,8.622727272727273
2020-04,C,EU27_2020,76.0,I15,6.54
2020-05,C,EU27_2020,86.4,I15,4.575714285714286
2020-06,C,EU27_2020,95.3,I15,4.991818181818181
2020-07,C,EU27_2020,100.1,I15,4.879565217391304
2020-08,C,EU27_2020,101.0,I15,7.533333333333333
2020-09,C,EU27_2020,101.5,I15,11.161818181818182
2020-10,C,EU27_2020,104.5,I15,13.955454545454545
2020-11,C,EU27_2020,107.6,I15,13.794285714285715
2020-12,C,EU27_2020,108.1,I15,16.34565217391304
2021-01,C,EU27_2020,109.0,I15,20.476190476190474
2021-02,C,EU27_2020,107.4,I15,17.4085
2021-03,C,EU27_2020,108.9,I15,17.795217391304348
2021-04,C,EU27_2020,109.9,I15,20.775454545454547
2021-05,C,EU27_2020,108.2,I15,25.285238095238096
2021-06,C,EU27_2020,107.1,I15,29.238636363636363
2021-07,C,EU27_2020,109.7,I15,36.13954545454545
2021-08,C,EU27_2020,107.1,I15,44.30409090909091
2021-09,C,EU27_2020,107.3,I15,64.45363636363636
2021-10,C,EU27_2020,108.0,I15,87.69238095238094
2021-11,C,EU27_2020,109.3,I15,81.92136363636364
2021-12,C,EU27_2020,113.7,I15,112.80739130434783
2022-01,C,EU27_2020,111.5,I15,84.06952380952382
2022-02,C,EU27_2020,111.9,I15,81.164
2022-03,C,EU27_2020,111.6,I15,129.18304347826088
2022-04,C,EU27_2020,110.2,I15,101.06238095238095
2022-05,C,EU27_2020,113.7,I15,88.58863636363637
2022-06,C,EU27_2020,113.3,I15,106.29454545454546
2022-07,C,EU27_2020,110.6,I15,171.41666666666666
2022-08,C,EU27_2020,113.9,I15,235.68391304347824
2022-09,C,EU27_2020,114.7,I15,190.24181818181816
2022-10,C,EU27_2020,113.9,I15,72.15047619047618
2022-11,C,EU27_2020,114.2,I15,96.28181818181817
2022-12,C,EU27_2020,113.5,I15,113.99181818181819
2023-01,C,EU27_2020,113.5,I15,63.004090909090905
2023-02,C,EU27_2020,115.3,I15,53.352999999999994
2023-03,C,EU27_2020,110.3,I15,44.18782608695652
2023-04,C,EU27_2020,111.6,I15,42.585
2023-05,C,EU27_2020,111.8,I15,31.335652173913044
2023-06,C,EU27_2020,112.9,I15,32.39909090909091
2023-07,C,EU27_2020,108.6,I15,29.665714285714287
2023-08,C,EU27_2020,109.0,I15,33.52304347826087
2023-09,C,EU27_2020,108.5,I15,36.52761904761905
2023-10,C,EU27_2020,108.1,I15,43.264545454545456
2023-11,C,EU27_2020,108.7,I15,43.269090909090906
2023-12,C,EU27_2020,116.1,I15,35.318571428571424
